Beaker,MatePair,Treatment,Replicate,Unfertilized,Fertilized,Developed
A_B1,1,Control,1,,,13
A_B1,1,Control,2,1,,16
A_B1,1,Control,3,,1,18
A_B1,1,Control,4,,1,15
A_B1,1,Control,5,,,8
A_B1,1,Control,6,,,9
A_B2,1,100 ppb,1,,,3
A_B2,1,100 ppb,2,,,6
A_B2,1,100 ppb,3,,1,5
A_B2,1,100 ppb,4,,,11
A_B2,1,100 ppb,5,,,8
A_B2,1,100 ppb,6,,,9
A_B3,1,500 ppb,1,,,11
A_B3,1,500 ppb,2,,,7
A_B3,1,500 ppb,3,,,9
A_B3,1,500 ppb,4,,,2
A_B3,1,500 ppb,5,,,6
A_B3,1,500 ppb,6,,,3
A_B4,1,1000 ppb,1,,,2
A_B4,1,1000 ppb,2,,1,4
A_B4,1,1000 ppb,3,,,11
A_B4,1,1000 ppb,4,,,11
A_B4,1,1000 ppb,5,,,7
A_B4,1,1000 ppb,6,,,3
A_B5,2,Control,1,,4,5
A_B5,2,Control,2,,2,13
A_B5,2,Control,3,,2,4
A_B5,2,Control,4,1,2,9
A_B5,2,Control,5,,1,9
A_B5,2,Control,6,,4,9
A_B6,2,100 ppb,1,,1,4
A_B6,2,100 ppb,2,,1,4
A_B6,2,100 ppb,3,,1,3
A_B6,2,100 ppb,4,,,11
A_B6,2,100 ppb,5,,1,7
A_B6,2,100 ppb,6,,1,11
A_B7,2,500 ppb,1,,,5
A_B7,2,500 ppb,2,,,12
A_B7,2,500 ppb,3,,,5
A_B7,2,500 ppb,4,,,12
A_B7,2,500 ppb,5,,,10
A_B7,2,500 ppb,6,,,10
A_B8,2,1000 ppb,1,,,6
A_B8,2,1000 ppb,2,,1,6
A_B8,2,1000 ppb,3,,,4
A_B8,2,1000 ppb,4,,,3
A_B8,2,1000 ppb,5,,,5
A_B8,2,1000 ppb,6,,1,5
B_B9,3,Control,1,,4,47
B_B9,3,Control,2,,6,43
B_B9,3,Control,3,1,4,37
B_B9,3,Control,4,2,6,41
B_B9,3,Control,5,1,3,54
B_B9,3,Control,6,1,3,34
B_B10,3,100 ppb,1,,,8
B_B10,3,100 ppb,2,,,10
B_B10,3,100 ppb,3,,1,12
B_B10,3,100 ppb,4,,,16
B_B10,3,100 ppb,5,,,14
B_B10,3,100 ppb,6,,,11
B_B11,3,500 ppb,1,,,6
B_B11,3,500 ppb,2,,,2
B_B11,3,500 ppb,3,,,2
B_B11,3,500 ppb,4,,,1
B_B11,3,500 ppb,5,,1,1
B_B11,3,500 ppb,6,,,1
B_B12,3,1000 ppb,1,,,7
B_B12,3,1000 ppb,2,,,5
B_B12,3,1000 ppb,3,,,8
B_B12,3,1000 ppb,4,,,2
B_B12,3,1000 ppb,5,,,4
B_B12,3,1000 ppb,6,,1,5
B_B13,4,Control,1,1,2,54
B_B13,4,Control,2,,2,36
B_B13,4,Control,3,,2,32
B_B13,4,Control,4,,3,49
B_B13,4,Control,5,,1,45
B_B13,4,Control,6,,3,52
B_B14,4,100 ppb,1,,1,21
B_B14,4,100 ppb,2,,,17
B_B14,4,100 ppb,3,,,16
B_B14,4,100 ppb,4,,1,10
B_B14,4,100 ppb,5,,,13
B_B14,4,100 ppb,6,,,15
B_B15,4,500 ppb,1,,,4
B_B15,4,500 ppb,2,,1,14
B_B15,4,500 ppb,3,,,12
B_B15,4,500 ppb,4,2,,13
B_B15,4,500 ppb,5,,,8
B_B15,4,500 ppb,6,,,10
B_B16,4,1000 ppb,1,,,7
B_B16,4,1000 ppb,2,,,7
B_B16,4,1000 ppb,3,,1,11
B_B16,4,1000 ppb,4,,,8
B_B16,4,1000 ppb,5,,,10
B_B16,4,1000 ppb,6,,,8