Beaker,MatePair,Treatment,Replicate,Unfertilized,Fertilized,2-cell
A_B1,1,Control,1,,8,
A_B1,1,Control,2,,7,
A_B1,1,Control,3,1,9,
A_B1,1,Control,4,,11,
A_B1,1,Control,5,,3,
A_B1,1,Control,6,,10,
A_B2,1,100 ppb,1,,3,
A_B2,1,100 ppb,2,,5,
A_B2,1,100 ppb,3,,9,
A_B2,1,100 ppb,4,,9,
A_B2,1,100 ppb,5,,8,
A_B2,1,100 ppb,6,,10,
A_B3,1,500 ppb,1,,11,
A_B3,1,500 ppb,2,,13,
A_B3,1,500 ppb,3,,4,
A_B3,1,500 ppb,4,,7,
A_B3,1,500 ppb,5,,6,
A_B3,1,500 ppb,6,,6,
A_B4,1,1000 ppb,1,,11,
A_B4,1,1000 ppb,2,,13,
A_B4,1,1000 ppb,3,,6,
A_B4,1,1000 ppb,4,,11,
A_B4,1,1000 ppb,5,,4,
A_B4,1,1000 ppb,6,,5,
A_B5,2,Control,1,,9,
A_B5,2,Control,2,,14,
A_B5,2,Control,3,,14,
A_B5,2,Control,4,,16,
A_B5,2,Control,5,,9,
A_B5,2,Control,6,,9,
A_B6,2,100 ppb,1,,17,
A_B6,2,100 ppb,2,,4,
A_B6,2,100 ppb,3,,8,
A_B6,2,100 ppb,4,,7,
A_B6,2,100 ppb,5,,12,
A_B6,2,100 ppb,6,,15,
A_B7,2,500 ppb,1,,4,
A_B7,2,500 ppb,2,,5,
A_B7,2,500 ppb,3,,9,
A_B7,2,500 ppb,4,,7,
A_B7,2,500 ppb,5,,14,
A_B7,2,500 ppb,6,,17,
A_B8,2,1000 ppb,1,,7,
A_B8,2,1000 ppb,2,,12,
A_B8,2,1000 ppb,3,,4,
A_B8,2,1000 ppb,4,,9,
A_B8,2,1000 ppb,5,,10,
A_B8,2,1000 ppb,6,,7,
B_B9,3,Control,1,,2,6
B_B9,3,Control,2,,2,4
B_B9,3,Control,3,,7,2
B_B9,3,Control,4,,5,3
B_B9,3,Control,5,2,6,8
B_B9,3,Control,6,1,6,6
B_B10,3,100 ppb,1,,4,4
B_B10,3,100 ppb,2,,9,2
B_B10,3,100 ppb,3,,8,6
B_B10,3,100 ppb,4,,8,5
B_B10,3,100 ppb,5,,7,8
B_B10,3,100 ppb,6,,6,7
B_B11,3,500 ppb,1,,4,8
B_B11,3,500 ppb,2,,5,4
B_B11,3,500 ppb,3,,4,5
B_B11,3,500 ppb,4,,8,1
B_B11,3,500 ppb,5,1,3,6
B_B11,3,500 ppb,6,,5,5
B_B12,3,1000 ppb,1,,6,6
B_B12,3,1000 ppb,2,,3,1
B_B12,3,1000 ppb,3,,3,
B_B12,3,1000 ppb,4,,5,4
B_B12,3,1000 ppb,5,1,7,2
B_B12,3,1000 ppb,6,,3,4
B_B13,4,Control,1,,16,
B_B13,4,Control,2,,10,
B_B13,4,Control,3,,14,
B_B13,4,Control,4,,9,
B_B13,4,Control,5,,4,
B_B13,4,Control,6,,13,
B_B14,4,100 ppb,1,,11,
B_B14,4,100 ppb,2,,6,
B_B14,4,100 ppb,3,,5,
B_B14,4,100 ppb,4,,5,
B_B14,4,100 ppb,5,,9,
B_B14,4,100 ppb,6,,5,
B_B15,4,500 ppb,1,,9,
B_B15,4,500 ppb,2,1,12,
B_B15,4,500 ppb,3,,10,
B_B15,4,500 ppb,4,1,10,
B_B15,4,500 ppb,5,,8,
B_B15,4,500 ppb,6,1,20,
B_B16,4,1000 ppb,1,,22,
B_B16,4,1000 ppb,2,,15,
B_B16,4,1000 ppb,3,1,7,
B_B16,4,1000 ppb,4,,13,
B_B16,4,1000 ppb,5,,14,
B_B16,4,1000 ppb,6,,10,