Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,Height(mm),Width(mm),Stomach_Length(mm),,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0002,1,0.119,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0003,2,0.12,0.113,0.078,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0004,3,0.118,0.108,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0005,4,0.113,0.099,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0006,5,0.106,0.114,0.055,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0009,6,0.124,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0009,7,0.129,0.12,0.104,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0012,9,0.103,0.114,0.051,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0013,10,0.111,0.119,0.068,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0015,12,0.119,0.119,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0016,13,0.119,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0017,14,0.124,0.116,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0017,15,0.115,0.117,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0018,16,0.118,0.12,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0020,17,0.13,0.113,0.07,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0021,18,0.114,0.115,0.094,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0022,19,0.112,0.114,0.061,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0023,20,0.13,0.118,0.114,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0027,22,0.113,0.123,0.078,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0030,25,0.125,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0035,29,0.109,0.114,0.088,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0039,31,0.124,0.117,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0040,32,0.119,0.127,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0041,34,0.115,0.115,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0047,39,0.131,0.105,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0047,40,0.117,0.107,,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0048,41,0.108,0.119,0.059,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0049,42,0.128,0.117,0.072,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0050,43,0.115,0.117,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0052,45,0.112,0.112,0.088,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0053,46,0.177,0.118,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0054,47,0.12,0.114,0.101,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0055,49,0.13,0.119,0.109,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,52,0.126,0.119,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,53,0.138,0.124,0.082,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,54,0.11,0.12,0.087,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0057,55,0.113,0.11,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0058,56,0.116,0.119,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0059,57,0.137,0.119,0.113,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0060,58,0.114,0.105,0.096,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0061,59,0.119,0.112,0.063,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0063,60,0.105,0.117,0.07,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0064,61,0.116,0.119,0.087,,,,,,,,,,,,,,,,
Gastrula,A_B1,1,Control,A_gastrula_b1-0065,62,0.119,0.11,0.063,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0002,1,0.127,0.108,0.097,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0003,2,0.13,0.119,0.072,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0003,3,0.136,0.117,0.112,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0004,4,0.122,0.115,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0005,5,0.122,0.116,0.103,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0006,6,0.106,0.111,0.08,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0007,7,0.128,0.112,0.112,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0009,9,0.13,0.114,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0010,10,0.104,0.112,0.072,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0012,12,0.132,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0013,13,0.127,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0014,14,0.128,0.111,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0016,16,0.121,0.11,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0017,17,0.12,0.117,0.073,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0018,18,0.126,0.109,0.107,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0019,19,0.125,0.105,0.094,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0020,20,0.12,0.105,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0020,21,0.13,0.113,0.101,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0022,23,0.119,0.111,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0023,24,0.125,0.107,0.1,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0024,25,0,0.104,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0025,26,0.114,0.104,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0026,27,0.125,0.11,0.1,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0027,28,0.125,0.117,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0028,29,0.126,0.111,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0029,30,0.122,0.107,0.108,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0029,32,0.12,0.114,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0030,33,0.105,0.112,0.068,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,34,0.127,0.122,0.104,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,35,0.116,0.116,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,36,0.101,0.111,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,37,0.115,0.112,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0031,38,0.117,0.11,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0032,39,0.113,0.116,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0033,40,0.121,0.108,0.098,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0034,41,0.115,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0037,44,0.132,0.112,0.113,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0038,45,0.128,0.114,0.113,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0039,46,0.125,0.105,0.102,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0040,47,0.115,0.115,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0041,48,0.114,0.105,0.097,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0042,49,0.115,0.115,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0043,50,0.125,0.111,0.108,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0045,52,0.121,0.117,0.058,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0046,53,0.128,0.103,0.082,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0047,54,0.116,0.109,0.075,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0047,55,0.121,0.111,0.095,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0048,56,0.114,0.111,0.068,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0049,57,0.111,0.116,0.051,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0050,58,0.123,0.109,0.108,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0052,59,0.113,0.115,0.066,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0053,60,0.113,0.107,0.073,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0053,61,0.121,0.123,0.102,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0055,62,0.128,0.103,0.085,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0056,63,0.123,0,0.055,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0057,64,0.124,0.109,0.112,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0058,65,0.104,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0059,66,0.128,0.12,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0060,67,0.124,0.12,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0061,68,0.126,0.118,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0062,69,0.117,0.122,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0063,70,0.123,0.108,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0064,71,0.111,0.114,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0065,74,0.12,0.111,0.079,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0066,75,0.128,0.113,0.089,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0067,76,0.124,0.109,0.096,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0068,77,0.12,0.119,0.069,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0069,78,0.114,0.112,0.091,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0073,80,0.123,0.114,,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0074,81,0.115,0.107,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0075,82,0.119,0.115,0.104,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0076,83,0.12,0.124,0.074,,,,,,,,,,,,,,,,
Gastrula,A_B2,1,100ppb,A_gastrula_b2-0077,84,0.11,0.104,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0005,2,0.116,0.11,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0013,9,0.12,0.114,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0014,10,0.113,0.095,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0015,11,0.12,0.102,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0016,12,0.117,0.106,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0017,13,0.129,0.112,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0018,14,0.113,0.106,0.082,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0019,15,0.119,0.107,0.069,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0021,16,0.106,0.094,0.073,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0022,17,0.11,0.104,0.095,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0023,18,0.121,0.105,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0024,19,0.112,0.105,0.079,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0025,20,0.12,0.108,0.1,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0026,21,0.105,0.099,0.069,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0027,22,0.106,0.095,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0028,23,0.119,0.107,0.101,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0029,24,0.115,0.109,0.068,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0031,26,0.135,0.115,0.118,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0032,27,0.111,0.112,0.07,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0033,28,0.106,0.104,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0035,30,0.11,0.107,0.106,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0037,32,0.117,0.109,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0038,33,0.113,0.108,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0038,34,0.118,0.115,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0039,35,0.116,0.11,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0040,36,0.122,0.111,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0042,37,0.116,0.104,0.078,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0043,38,0.119,0.109,0.061,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0044,39,0.111,0.115,0.082,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0045,40,0.108,0.111,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0046,41,0.112,0.11,0.09,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0047,42,0.111,0.112,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0048,43,0.109,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0048,44,0.11,0.107,0.08,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0049,45,0.121,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0050,46,0.13,0.116,0.105,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0051,47,0.114,0.114,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0052,48,0.119,0.111,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0052,49,0.121,0.117,0.086,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0053,50,0.116,0.117,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0054,51,0.106,0.108,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0055,52,0.116,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0056,53,0.111,0.111,0.082,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0058,55,0.114,0.108,,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0060,56,0.13,0.131,0.097,,,,,,,,,,,,,,,,
Gastrula,A_B3,1,500ppb,A_gastrula_b3-0062,57,0.108,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0002,1,0.112,0.117,0.091,scale was blurry,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0003,2,0.115,0.102,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0004,3,0.114,0.118,0.083,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0005,4,0.115,0.111,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0006,5,0.118,0.121,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0007,6,0.126,0.119,0.103,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0008,7,0.121,0.113,0.097,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0008,8,0.115,0.109,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0009,9,0.125,0.112,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0009,10,0,0.121,0.076,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0009,11,0.127,0.118,0.099,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0010,13,0.128,0.116,0.105,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0011,14,0.12,0.11,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0012,15,0.113,0.113,,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0013,16,0.127,0.112,0.108,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0014,18,0.112,0.123,0.093,,,,,,,,,,,,,,,,
Gastrula,A_B4,1,1000ppb,A_gastrula_b1-0015,19,0.115,0.115,,,,,,,,,,,,,,,,,
