Stage,BeakerID,MatePair,Treatment,PhotoID,SampleID,AL1_mm,AL2_mm,BL_mm,stomach_mm,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0002,1,0.26,0.288,0.229,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0003,2,0.323,0.322,0.242,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0004,3,0.306,0.328,0.256,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0006,5,,0.255,0.329,0.005,against edge of water,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0008,7,0.344,0.339,0.252,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0009,8,0.335,0.336,0.249,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0010,9,0.327,0.333,0.245,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0012,11,0,0.309,0.225,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0019,19,0.246,0.294,0.224,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0020,21,0.3,0.296,0.233,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0021,22,0.311,0.323,0.269,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0022,23,0.335,0.327,0.258,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0030,31,0.261,0.277,0.213,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0031,32,,,0.239,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0033,34,0.318,0.32,0.231,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0036,36,0.327,0.327,0.251,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0037,37,0.34,0.344,0.273,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0040,40,0.299,0.286,0.232,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0043,43,0.281,0.262,0.204,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0044,44,0.306,0.313,0.239,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0046,46,0.334,0.324,0.25,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0051,51,,,,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0054,54,0.306,0.301,0.245,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0057,57,0.334,0.345,0.261,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0058,58,0.239,0.241,0.191,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0060,60,0.303,0.28,0.223,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0063,63,0.233,0.246,0.2,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0065,66,0.337,0.356,0.274,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0068,69,0.342,0.313,0.257,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0069,70,0.313,0.33,0.244,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0070,71,0.318,0.308,0.246,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0075,76,0.321,0.317,0.255,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0076,77,0.299,0.283,0.237,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0077,78,0.296,0.312,0.242,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0077,79,0.339,0.339,0.25,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0078,80,0.29,0.274,0.225,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0080,83,0.292,0.275,0.224,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0081,84,0.267,0.272,0.217,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0082,85,0.323,0.322,0.244,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0083,86,0.295,0.302,0.238,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0084,87,0.325,0.33,0.214,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0085,88,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0085,89,,,,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0087,91,0.305,0.299,0.239,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0089,93,0.335,0.338,0.263,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0091,95,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0091,96,0.328,0.327,0.24,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0093,98,0.31,0.3,0.24,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0094,100,0.349,0.342,0.268,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0095,101,0.356,0.349,0.268,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0097,104,0.318,0.323,0.237,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0099,106,0.23,0.298,0.213,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0099,107,0.321,,0.236,0.005,The other arm isn't in focus,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0100,108,0.304,0.301,0.223,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0100,109,0.325,0.316,0.245,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B1,1,Control,A_plut_b1-0101,110,0.319,0.293,0.228,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0002,1,0.334,0.346,0.258,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0005,5,0.359,0.342,0.279,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0006,6,0.332,0.352,0.277,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0009,9,0.352,0.354,0.264,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0011,10,0.242,0.239,0.196,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0017,16,0.32,0.323,0.25,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0018,17,0.221,0.243,0.217,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0025,25,0.296,0.316,0.244,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0026,26,0.253,0.268,0.219,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0028,28,0.283,0.272,0.217,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0036,36,0.293,0.313,0.238,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0038,37,0.349,0.346,0.275,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0041,41,0.322,0.346,0.27,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0048,48,0.327,0.325,0.267,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0050,50,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0053,53,0.345,0.353,0.271,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0054,55,0.325,0.312,0.256,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0054,56,0.324,0.323,0.263,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0055,57,0.29,0.303,0.247,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0057,60,0.329,0.326,0.261,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0059,62,0.351,0.348,0.265,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0060,63,0.333,0.332,0.27,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0061,64,0.309,0.294,0.247,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0062,65,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0062,66,,,,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0063,67,0.334,0.341,0.273,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0066,70,0.34,0.331,0.265,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B2,1,100ppb,A_plut_b2-0067,71,0.338,0.335,0.262,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0005,4,0.254,0.27,0.216,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0007,6,0.244,0.236,0.206,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0014,10,0.328,0.331,0.276,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0015,12,,,,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0018,15,0.292,0.283,0.228,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0019,16,0.237,0.235,0.186,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0020,17,0.338,0.323,0.259,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0021,18,0.32,0.324,0.252,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0023,20,0.303,0.326,0.238,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0026,24,0.277,0.276,0.222,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0027,25,0.318,0.315,0.257,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0031,29,0.339,0.344,0.288,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0032,30,0.282,,0.228,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0033,32,0.277,0.282,0.218,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0034,34,0.309,0.328,0.248,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0035,35,0.327,0.311,0.238,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0036,36,0.285,0.288,0.234,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0037,37,0.257,0.267,0.213,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0043,43,0.281,0.273,0.217,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0044,44,0.365,0.34,0.269,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0048,48,0.258,0.269,0.219,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0048,49,0.326,0.34,0.252,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0049,50,0.354,0.342,0.261,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0049,51,0.311,0.302,0.256,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0055,56,0.271,0.267,0.216,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0063,64,0.325,0.312,0.257,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B3,1,500ppb,A_plut_b3-0065,66,0.298,0.298,0.237,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0004,4,0.238,0.24,0.193,0.002,stomach remeasuring through here,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0008,10,0.343,0.33,0.256,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0013,16,0.31,0.293,0.238,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0025,28,0.339,0.332,0.27,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0025,30,0.306,0.294,0.238,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0032,38,0.312,0.32,0.237,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0036,42,0.341,0.322,0.256,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0040,46,0.316,0.325,0.242,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0041,47,0.315,0.316,0.242,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0042,48,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0044,50,0.324,0.342,0.255,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0046,52,0.346,0.322,0.25,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0047,53,0.314,0.318,0.242,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0048,54,0.315,0.324,0.246,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0049,55,0.328,0.315,0.252,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0057,63,0.343,0.33,0.259,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0063,68,0.33,0.321,0.256,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0066,71,0.332,0.327,0.252,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0069,74,0.333,0.343,0.254,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0071,76,0.293,0.286,0.232,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0078,83,0.329,0.326,0.239,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0079,84,0.299,0.305,0.245,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B4,1,1000ppb,A_plut_b4-0082,87,0.343,0.333,0.258,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0003,2,0.318,0.315,0.242,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0004,3,0.312,0.316,0.237,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0006,5,0.326,0.332,0.249,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0007,6,0.327,0.346,0.252,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0008,8,0.308,0.316,0.237,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0011,11,0.328,0.323,0.249,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0017,20,0.302,0.328,0.245,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0020,22,0.279,0.287,0.235,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0023,26,0.32,0.308,0.231,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0024,27,0.327,0.333,0.256,0.003,,,,,,,,,,,,,,,,,
,,,,A_plut_b5-0025,28,0.311,,0.234,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0027,31,0.317,0.31,0.238,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0027,32,0.333,0.332,0.248,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0028,33,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0030,36,0.297,0.298,0.222,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0031,37,0.308,0.321,0.229,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0034,41,0.254,0.282,0.287,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0035,42,,,,0.004,The nose of this guy is under the other one in the photo,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0037,46,0.341,0.323,0.199,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0038,48,0.314,0.288,0.225,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0038,49,0.325,0.325,0.247,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0040,51,0.341,0.335,0.251,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0042,54,,,,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0053,66,0.319,0.326,0.253,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0056,70,0.307,0.308,0.245,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0057,71,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0057,72,0.329,0.333,0.251,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0059,74,0.321,0.322,0.243,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0059,75,,,,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0065,77,0.249,0.244,0.202,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0068,80,0.334,0.334,0.259,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0071,83,0.261,0.259,0.22,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B5,2,Control,A_plut_b5-0072,84,0.324,0.319,0.243,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0006,5,0.336,0.342,0.27,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0009,8,0.369,0.358,0.273,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0013,12,0.369,0.362,0.296,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0015,14,0.312,0.318,0.236,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0018,17,0.282,0.319,0.254,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0019,18,0.363,0.367,0.28,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0020,19,0.372,0.362,0.27,0.006,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0023,22,0.355,0.358,0.274,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0029,27,,,,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0034,32,,,,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0036,34,0.365,0.351,0.276,0.004,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0037,35,0.39,0.386,0.276,0.005,,,,,,,,,,,,,,,,,
Pluteus,A_B6,2,100ppb,A_plut_b6-0038,36,0.3,0.296,0.247,0.003,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0004,3,0.267,0.269,0.242,0.002,,,,,,,,,,,,,,,,,
Pluteus,A_B7,2,500ppb,A_plut_b7-0005,4,0.285,0.293,0.221,0.003,,,,,,,,,,,,,,,,,
